1000
3
C:\Users\Chesler Lab\Desktop\BPD_Goss_Data\rat11.nss
11/6/2019 10:42:47 AM
2
18630785000
18642176296
Time,LAS30a1.Analog Channel  01,LAS30a1.Analog Channel  02
ms,mV,mV
0,2.80120556953196,22.2697444866432
1,2.80120556953196,22.871568913868
2,2.80120556953196,23.0220250206742
3,2.80120556953196,23.9247616615115
4,2.80120556953196,24.2256738751239
5,2.80120556953196,24.8274983023487
6,2.80120556953196,24.8274983023487
7,3.01599516513654,26.0311471567983
8,3.01599516513654,26.1816032636045
9,3.01599516513654,27.3852521180542
10,3.01599516513654,27.5357082248604
11,3.01599516513654,28.73935707931
12,3.01599516513654,28.8898131861162
13,3.01599516513654,29.9430059337596
14,3.01599516513654,30.0934620405658
15,3.01599516513654,32.3503036426589
16,3.23078476074111,32.5007597494651
17,3.23078476074111,34.1557769243334
18,3.23078476074111,34.3062330311396
19,3.01599516513654,36.111706312814
20,3.23078476074111,36.2621624196202
21,3.23078476074111,36.863986846845
22,3.23078476074111,36.863986846845
23,3.23078476074111,37.6162673808761
24,3.23078476074111,37.7667234876823
25,3.23078476074111,38.5190040217133
26,3.23078476074111,38.6694601285195
27,3.44557435634568,39.5721967693567
28,3.44557435634568,39.5721967693567
29,3.44557435634568,39.8731089829691
30,3.44557435634568,39.8731089829691
31,3.44557435634568,40.1740211965815
32,3.44557435634568,40.1740211965815
33,3.66036395195026,41.6785822646436
34,3.44557435634568,41.6785822646436
35,3.44557435634568,42.4308627986746
36,3.66036395195026,42.4308627986746
37,3.66036395195026,42.4308627986746
38,3.44557435634568,42.4308627986746
39,3.66036395195026,43.3335994395118
40,3.44557435634568,43.3335994395118
41,3.44557435634568,44.0858799735428
42,3.44557435634568,44.236336080349
43,3.66036395195026,44.9886166143801
44,3.66036395195026,44.9886166143801
45,3.66036395195026,44.236336080349
46,3.66036395195026,44.236336080349
47,3.66036395195026,44.236336080349
48,3.87515354755483,43.9354238667366
49,3.87515354755483,43.0326872258994
50,3.87515354755483,43.0326872258994
51,4.30473273876398,43.0326872258994
52,4.51952233436856,42.4308627986746
53,4.51952233436856,41.227213944225
54,4.9491015255777,40.4749334101939
55,5.37868071678685,39.1208284489381
56,6.23783909920515,38.6694601285195
57,7.31178707722802,38.3685479149071
58,8.60052465085547,38.3685479149071
59,10.1040518200875,38.3685479149071
60,11.8223685849241,38.5190040217133
61,13.7554749453652,38.6694601285195
62,15.4737917102018,39.2712845557443
63,16.9773188794339,39.7226528761629
64,18.4808460486659,40.0235650897753
65,19.7695836222933,40.3244773033877
66,20.8435316003162,40.9263017306126
67,21.7026899827345,41.0767578374188
68,22.5618483651528,41.6785822646436
69,23.2062171519665,41.979494478256
70,23.6357963431757,41.5281261578374
71,24.0653755343848,41.5281261578374
72,24.2801651299894,40.0235650897753
73,24.2801651299894,39.4217406625505
74,24.494954725594,40.7758456238063
75,24.7097443211985,41.227213944225
76,24.9245339168031,40.4749334101939
77,24.9245339168031,40.1740211965815
78,25.1393235124077,38.5190040217133
79,25.3541131080123,38.0676357012947
80,25.3541131080123,37.0144429536512
81,25.5689027036168,36.5630746332326
82,25.7836922992214,35.6603379923954
83,25.998481894826,35.359425778783
84,26.2132714904306,33.7044086039147
85,26.4280610860351,33.2530402834961
86,26.6428506816397,31.4475670018217
87,26.8576402772443,30.9961986814031
88,27.2872194684534,29.7925498269534
89,27.2872194684534,29.491637613341
90,27.7167986596626,27.5357082248604
91,27.9315882552671,27.0843399044418
92,28.1463778508717,26.0311471567983
93,28.3611674464763,25.7302349431859
94,28.7907466376854,24.6770421955425
95,29.00553623329,24.5265860887363
96,29.00553623329,22.871568913868
97,29.2203258288946,22.5706567002556
98,29.2203258288946,21.5174639526122
99,29.2203258288946,21.367007845806
100,29.4351154244992,20.3138150981626
101,29.2203258288946,20.1633589913564
102,29.4351154244992,18.6587979232943
103,29.2203258288946,18.5083418164881
104,29.2203258288946,17.0037807484261
105,29.2203258288946,16.8533246416199
106,29.2203258288946,15.9505880007826
107,29.2203258288946,15.9505880007826
108,29.2203258288946,14.8973952531392
109,29.00553623329,14.746939146333
110,29.00553623329,14.1451147191082
111,28.7907466376854,14.1451147191082
112,28.7907466376854,13.3928341850772
113,28.5759570420809,13.242378078271
114,28.5759570420809,12.4900975442399
115,28.3611674464763,12.4900975442399
116,28.1463778508717,12.0387292238213
117,28.1463778508717,12.0387292238213
118,27.9315882552671,11.7378170102089
119,27.7167986596626,11.7378170102089
120,27.7167986596626,11.2864486897903
121,27.2872194684534,11.1359925829841
122,27.0724298728489,10.8350803693717
123,26.8576402772443,10.8350803693717
124,26.6428506816397,10.5341681557593
125,26.2132714904306,10.5341681557593
126,25.998481894826,10.3837120489531
127,25.7836922992214,10.3837120489531
128,25.3541131080123,10.5341681557593
129,24.7097443211985,10.5341681557593
130,24.2801651299894,10.6846242625655
131,23.6357963431757,10.6846242625655
132,23.2062171519665,10.8350803693717
133,22.5618483651528,10.6846242625655
134,21.9174795783391,10.6846242625655
135,21.0583211959208,10.8350803693717
136,19.9843732178979,11.1359925829841
137,18.910425239875,11.1359925829841
138,16.9773188794339,11.4369047965965
139,14.8294229233881,11.4369047965965
140,13.9702645409698,11.5873609034027
141,13.3258957541561,11.5873609034027
142,12.4667373717378,11.5873609034027
143,11.6075789893195,11.5873609034027
144,10.7484206069012,11.5873609034027
145,9.88926222448291,11.4369047965965
146,9.03010384206462,11.4369047965965
147,8.38573505525089,11.5873609034027
148,7.74136626843717,11.7378170102089
149,7.31178707722802,11.5873609034027
150,6.6674182904143,11.5873609034027
151,6.23783909920515,11.5873609034027
152,5.808259907996,11.7378170102089
153,5.37868071678685,11.7378170102089
154,5.16389112118228,11.8882731170151
155,4.73431192997313,12.0387292238213
156,4.30473273876398,12.0387292238213
157,4.08994314315941,12.1891853306275
158,3.87515354755483,12.3396414374337
159,3.66036395195026,12.4900975442399
160,3.44557435634568,12.4900975442399
161,3.44557435634568,12.9414658646586
162,3.23078476074111,13.0919219714648
163,3.01599516513654,13.5432902918834
164,3.01599516513654,13.5432902918834
165,3.01599516513654,13.994658612302
166,3.01599516513654,14.2955708259144
167,3.01599516513654,14.746939146333
168,2.80120556953196,14.8973952531392
169,2.80120556953196,15.6496757871702
170,2.80120556953196,15.8001318939764
171,2.80120556953196,16.4019563212013
172,2.80120556953196,16.5524124280075
173,2.80120556953196,17.1542368552323
174,2.80120556953196,17.3046929620385
175,2.80120556953196,17.9065173892633
176,3.01599516513654,18.0569734960695
177,3.01599516513654,18.9597101369067
178,3.01599516513654,19.1101662437129
179,3.01599516513654,19.862446777744
180,3.01599516513654,19.862446777744
181,3.01599516513654,20.614727311775
182,2.80120556953196,20.614727311775
183,2.80120556953196,21.2165517389998
184,2.80120556953196,21.367007845806
185,2.80120556953196,21.6679200594184
186,2.80120556953196,21.8183761662246
187,2.80120556953196,21.8183761662246
188,2.58641597392739,21.9688322730308
189,2.80120556953196,23.3229372342867
190,2.80120556953196,23.4733933410929
191,2.80120556953196,23.7743055547053
192,2.80120556953196,23.7743055547053
193,2.80120556953196,24.2256738751239
194,2.80120556953196,24.3761299819301
195,2.80120556953196,25.2788666227673
196,3.01599516513654,25.2788666227673
197,2.80120556953196,25.8806910499921
198,3.01599516513654,25.8806910499921
199,3.01599516513654,27.0843399044418
200,3.01599516513654,27.0843399044418
201,3.01599516513654,29.1907253997286
202,3.01599516513654,29.3411815065348
203,3.01599516513654,31.1466547882093
204,3.01599516513654,31.2971108950155
205,3.01599516513654,32.9521280698837
206,3.23078476074111,33.1025841766899
207,3.23078476074111,34.607145244752
208,3.01599516513654,34.607145244752
209,3.23078476074111,35.9612502060078
210,3.23078476074111,36.111706312814
211,3.23078476074111,37.1648990604574
212,3.23078476074111,37.1648990604574
213,3.23078476074111,38.6694601285195
214,3.44557435634568,38.6694601285195
215,3.44557435634568,39.5721967693567
216,3.44557435634568,39.5721967693567
217,3.44557435634568,39.8731089829691
218,3.44557435634568,40.0235650897753
219,3.44557435634568,40.6253895170001
220,3.44557435634568,40.7758456238063
221,3.44557435634568,41.227213944225
222,3.66036395195026,41.5281261578374
223,3.66036395195026,41.979494478256
224,3.44557435634568,42.2804066918684
225,3.66036395195026,42.731775012287
226,3.66036395195026,43.0326872258994
227,3.66036395195026,43.1831433327056
228,3.66036395195026,43.3335994395118
229,3.44557435634568,43.6345116531242
230,3.66036395195026,43.6345116531242
231,3.44557435634568,43.6345116531242
232,3.66036395195026,43.7849677599304
233,3.66036395195026,44.0858799735428
234,3.66036395195026,44.0858799735428
235,3.66036395195026,44.0858799735428
236,3.66036395195026,44.3867921871552
237,3.66036395195026,44.5372482939615
238,3.87515354755483,44.0858799735428
239,4.08994314315941,43.7849677599304
240,3.87515354755483,43.484055546318
241,4.08994314315941,43.3335994395118
242,4.30473273876398,41.979494478256
243,4.51952233436856,41.3776700510312
244,4.73431192997313,40.4749334101939
245,5.16389112118228,40.0235650897753
246,6.02304950360058,39.4217406625505
247,6.88220788601887,39.2712845557443
248,8.17094545964632,39.2712845557443
249,9.67447262887834,39.2712845557443
250,11.3927893937149,39.2712845557443
251,13.1111061585515,39.2712845557443
252,14.6146333277835,40.0235650897753
253,16.3329500926201,40.3244773033877
254,18.0512668574567,41.227213944225
255,19.3400044310842,41.3776700510312
256,20.4139524091071,40.9263017306126
257,21.4879003871299,40.9263017306126
258,22.1322691739436,41.227213944225
259,22.9914275563619,41.3776700510312
260,23.4210067475711,41.6785822646436
261,23.8505859387802,41.6785822646436
262,24.0653755343848,40.7758456238063
263,24.2801651299894,40.6253895170001
264,24.494954725594,40.6253895170001
265,24.7097443211985,40.6253895170001
266,24.9245339168031,40.7758456238063
267,24.9245339168031,40.7758456238063
268,25.1393235124077,39.5721967693567
269,25.1393235124077,39.4217406625505
270,25.3541131080123,38.6694601285195
271,25.5689027036168,38.5190040217133
272,25.5689027036168,37.1648990604574
273,25.7836922992214,37.0144429536512
274,25.998481894826,34.607145244752
275,26.2132714904306,34.4566891379458
276,26.6428506816397,32.8016719630775
277,26.8576402772443,32.6512158562713
278,27.0724298728489,31.1466547882093
279,27.2872194684534,30.9961986814031
280,27.502009064058,28.73935707931
281,27.7167986596626,28.4384448656976
282,27.9315882552671,27.0843399044418
283,28.3611674464763,26.9338837976356
284,28.5759570420809,25.4293227295735
285,28.7907466376854,25.1284105159611
286,29.00553623329,23.9247616615115
287,29.00553623329,23.7743055547053
288,29.2203258288946,22.2697444866432
289,29.2203258288946,22.119288379837
290,29.2203258288946,20.9156395253874
291,29.2203258288946,20.7651834185812
292,29.2203258288946,19.2606223505191
293,29.2203258288946,19.2606223505191
294,29.2203258288946,17.9065173892633
295,29.2203258288946,17.7560612824571
296,29.2203258288946,16.4019563212013
297,29.00553623329,16.2515002143951
298,29.00553623329,15.1983074667516
299,29.00553623329,15.1983074667516
300,28.7907466376854,14.2955708259144
301,28.7907466376854,14.2955708259144
302,28.7907466376854,12.9414658646586
303,28.5759570420809,12.9414658646586
304,28.3611674464763,12.9414658646586
305,28.3611674464763,12.9414658646586
306,28.1463778508717,12.1891853306275
307,27.9315882552671,12.1891853306275
308,27.9315882552671,11.8882731170151
309,27.7167986596626,11.8882731170151
310,27.502009064058,11.5873609034027
311,27.2872194684534,11.4369047965965
312,27.0724298728489,11.1359925829841
313,26.8576402772443,10.9855364761779
314,26.6428506816397,10.8350803693717
315,26.4280610860351,10.6846242625655
316,25.998481894826,10.6846242625655
317,25.7836922992214,10.3837120489531
318,25.3541131080123,10.2332559421469
319,24.9245339168031,10.3837120489531
320,24.2801651299894,10.3837120489531
321,23.8505859387802,10.3837120489531
322,23.2062171519665,10.5341681557593
323,22.7766379607574,10.5341681557593
324,22.1322691739436,10.5341681557593
325,21.2731107915253,10.6846242625655
326,20.6287420047116,10.8350803693717
327,19.5547940266888,11.1359925829841
328,18.2660564530613,11.4369047965965
329,15.903370901411,11.4369047965965
330,14.399843732179,11.4369047965965
331,13.5406853497607,11.4369047965965
332,12.896316562947,11.5873609034027
333,12.0371581805287,11.5873609034027
334,11.1779997981104,11.4369047965965
335,10.3188414156921,11.4369047965965
336,9.45968303327376,11.4369047965965
337,8.81531424646004,11.4369047965965
338,8.17094545964632,11.4369047965965
