1000
3
C:\Users\Chesler Lab\Desktop\BPD_Goss_Data\rat 51 5-21-19.nss
5/21/2019 10:10:03 AM
2
2000612000
2004796898
Time,LAS30a1.Analog Channel  01,LAS30a1.Analog Channel  02
ms,mV,mV
0,37.7853190062801,14.8640622107017
1,37.7853190062801,14.8640622107017
2,37.5706804581716,14.8640622107017
3,37.5706804581716,14.712386595075
4,37.356041910063,14.712386595075
5,37.356041910063,15.3190890575819
6,37.356041910063,15.6224402888354
7,37.356041910063,16.2291427513423
8,37.356041910063,16.3808183669691
9,37.1414033619544,16.5324939825958
10,37.1414033619544,16.6841695982225
11,37.1414033619544,16.6841695982225
12,37.1414033619544,16.6841695982225
13,37.1414033619544,17.2908720607295
14,37.1414033619544,17.4425476763562
15,37.1414033619544,17.8975745232364
16,37.356041910063,17.8975745232364
17,37.356041910063,18.6559526013701
18,37.356041910063,18.8076282169968
19,37.356041910063,19.869357526384
20,37.356041910063,20.0210331420107
21,37.5706804581716,20.9310868357711
22,37.5706804581716,21.0827624513979
23,37.5706804581716,22.2961673764118
24,37.7853190062801,22.2961673764118
25,37.7853190062801,23.8129235326791
26,37.7853190062801,23.9645991483059
27,37.7853190062801,25.1780040733197
28,37.5706804581716,25.1780040733197
29,37.7853190062801,26.3914089983336
30,37.7853190062801,26.3914089983336
31,37.7853190062801,27.301462692094
32,37.7853190062801,27.301462692094
33,37.9999575543887,28.5148676171079
34,37.7853190062801,28.6665432327347
35,37.9999575543887,29.4249213108683
36,37.9999575543887,29.5765969264951
37,37.7853190062801,30.0316237733753
38,37.7853190062801,30.0316237733753
39,37.9999575543887,31.5483799296426
40,37.9999575543887,31.5483799296426
41,37.9999575543887,32.0034067765229
42,37.9999575543887,32.0034067765229
43,37.9999575543887,32.9134604702833
44,37.9999575543887,33.06513608591
45,37.9999575543887,33.3684873171635
46,37.9999575543887,33.3684873171635
47,37.9999575543887,33.3684873171635
48,37.9999575543887,33.3684873171635
49,37.9999575543887,33.2168117015367
50,37.7853190062801,33.2168117015367
51,37.9999575543887,34.1268653952972
52,37.9999575543887,34.1268653952972
53,37.9999575543887,33.9751897796704
