1000
3
C:\Users\Chesler Lab\Desktop\BPD_Goss_Data\rat 61 5-22-19.nss
5/22/2019 2:37:45 PM
1
6736638000
6741680742
Time,LAS30a1.Analog Channel  01,LAS30a1.Analog Channel  02
ms,mV,mV
0,15.879174386046,6.22568626478074
1,14.1640262223794,6.37735435457003
2,12.4488780587127,6.37735435457003
3,11.1625169359628,6.37735435457003
4,9.87615581321279,6.37735435457003
5,8.58979469046282,6.37735435457003
6,7.51782708817117,6.52902244435932
7,6.66025300633785,6.52902244435932
8,5.80267892450454,6.6806905341486
9,5.37389188358788,6.83235862393789
10,4.94510484267122,6.98402671372718
11,4.51631780175456,7.13569480351646
12,4.30192428129624,7.28736289330575
13,4.08753076083791,7.43903098309504
14,4.08753076083791,7.59069907288432
15,3.87313724037958,8.04570334225218
16,3.65874371992125,8.19737143204147
17,3.65874371992125,8.80404379119861
18,3.44435019946292,9.10737997077719
19,3.22995667900459,10.0173885095129
20,3.01556315854626,10.3207246890915
21,3.01556315854626,11.0790651380379
22,3.01556315854626,11.3824013176165
23,3.01556315854626,12.2924098563522
24,3.01556315854626,12.5957460359308
25,3.01556315854626,13.5057545746665
26,3.01556315854626,13.8090907542451
27,3.01556315854626,15.3257716521379
28,3.01556315854626,15.6291078317165
29,3.22995667900459,16.6907844602415
30,3.22995667900459,16.8424525500308
31,3.22995667900459,18.0557972683451
32,3.22995667900459,18.3591334479237
33,3.22995667900459,18.6624696275022
34,3.01556315854626,18.6624696275022
35,3.22995667900459,19.2691419866594
36,3.22995667900459,19.4208100764487
37,3.22995667900459,20.1791505253951
38,3.22995667900459,20.3308186151844
39,3.22995667900459,21.0891590641308
40,3.44435019946292,21.0891590641308
41,3.44435019946292,21.9991676028665
42,3.65874371992125,22.1508356926558
43,3.65874371992125,22.9091761416023
44,3.65874371992125,23.0608442313915
45,3.87313724037958,23.9708527701273
46,3.87313724037958,24.1225208599166
47,3.87313724037958,24.7291932190737
48,4.08753076083791,24.880861308863
49,4.08753076083791,25.3358655782308
50,4.08753076083791,25.4875336680201
51,4.08753076083791,26.3975422067558
52,4.08753076083791,26.5492102965451
53,4.08753076083791,27.004214565913
54,4.08753076083791,27.004214565913
55,4.08753076083791,27.9142231046487
56,4.30192428129624,28.065891194438
57,4.30192428129624,28.9758997331737
58,4.08753076083791,29.127567822963
59,4.30192428129624,29.5825720923309
60,4.30192428129624,29.5825720923309
61,4.08753076083791,29.2792359127523
62,4.08753076083791,29.2792359127523
63,4.08753076083791,29.5825720923309
64,4.08753076083791,29.5825720923309
65,4.08753076083791,29.2792359127523
66,4.30192428129624,29.2792359127523
67,4.51631780175456,29.8859082719094
68,4.94510484267122,29.8859082719094
69,5.37389188358788,29.5825720923309
70,6.2314659654212,29.5825720923309
71,7.94661412908783,29.7342401821202
72,10.0905493336711,29.5825720923309
73,13.5208456610044,29.8859082719094
74,18.0231095906293,29.8859082719094
75,23.1685540816292,31.4025891698023
76,28.9571791340041,31.4025891698023
77,34.9601977068373,32.0092615289594
78,40.9632162796705,32.0092615289594
79,46.537447811587,31.8575934391702
80,51.4684987821286,32.1609296187487
81,55.3275821503785,33.6776105166416
82,58.1146979163368,33.8292786064309
83,60.2586331209201,33.9809466962202
84,61.7593877641284,33.374274337063
85,63.0457488868784,31.7059253493809
86,64.11771648917,30.7959168106452
87,65.1896840914617,28.9758997331737
88,66.047258173295,28.065891194438
89,67.1192257755866,27.004214565913
90,67.9767998574199,26.0942060271773
91,68.6199804187949,25.1841974884416
92,69.4775545006282,24.5775251292844
93,70.1207350620032,23.819184680338
94,70.5495221029199,23.2125123211808
95,70.9783091438365,22.6058399620237
96,71.4070961847532,21.695831423288
97,71.4070961847532,20.9374909743415
98,71.6214897052115,20.0274824356058
99,71.6214897052115,19.572478166238
100,71.6214897052115,18.6624696275022
101,71.4070961847532,17.9041291785558
102,71.4070961847532,17.2974568193987
103,71.1927026642949,16.9941206398201
104,70.9783091438365,16.2357801908737
105,70.5495221029199,15.9324440112951
106,70.3351285824616,14.7190992929808
107,69.6919480210866,14.2640950236129
108,69.0487674597116,13.2024183950879
109,68.4055868983366,12.8990822155094
110,67.5480128165033,11.9890736767736
111,66.9048322551283,11.6857374971951
112,66.047258173295,10.9273970482486
113,65.1896840914617,10.7757289584593
114,64.3321100096284,9.71405232993433
115,63.6889294482534,9.56238424014505
116,62.83135536642,9.25904806056647
117,61.9737812845867,9.25904806056647
118,61.3306007232117,8.9557118809879
119,60.4730266413784,8.80404379119861
120,59.8298460800034,8.65237570140933
121,59.1866655186285,8.65237570140933
122,58.5434849572535,8.65237570140933
123,57.9003043958785,8.65237570140933
124,57.2571238345035,8.50070761162004
