1000
3
C:\Users\Chesler Lab\Desktop\BPD_Goss_Data\rat 10.nss
11/6/2019 10:42:47 AM
1
11019495000
11028418304
Time,LAS30a1.Analog Channel  01,LAS30a1.Analog Channel  02
ms,mV,mV
0,8.17094545964632,13.9257922447763
1,7.09699748162345,13.9257922447763
2,6.23783909920515,13.9257922447763
3,5.37868071678685,13.9257922447763
4,4.9491015255777,14.468326765787
5,4.51952233436856,14.1970595052816
6,4.08994314315941,14.468326765787
7,3.87515354755483,14.468326765787
8,3.66036395195026,14.468326765787
9,3.44557435634568,14.7395940262923
10,3.23078476074111,15.5533958078082
11,3.23078476074111,15.5533958078082
12,3.01599516513654,16.3671975893242
13,3.01599516513654,16.3671975893242
14,2.80120556953196,17.1809993708401
15,2.58641597392739,17.4522666313454
16,2.58641597392739,18.5373356733667
17,2.37162637832281,19.0798701943773
18,2.37162637832281,20.1649392363986
19,2.15683678271824,20.7074737574092
20,2.15683678271824,21.5212755389251
21,2.15683678271824,21.5212755389251
22,1.94204718711366,21.7925427994305
23,1.94204718711366,21.7925427994305
24,1.94204718711366,21.7925427994305
25,1.94204718711366,22.3350773204411
26,1.94204718711366,22.8776118414517
27,1.94204718711366,23.4201463624623
28,1.94204718711366,23.962680883473
29,1.94204718711366,24.2339481439783
30,1.94204718711366,24.5052154044836
31,1.94204718711366,24.7764826649889
32,2.15683678271824,24.7764826649889
33,2.15683678271824,25.0477499254942
34,2.15683678271824,25.0477499254942
35,2.15683678271824,25.5902844465049
36,2.15683678271824,25.8615517070102
37,2.37162637832281,26.1328189675155
38,2.37162637832281,26.1328189675155
39,2.37162637832281,26.4040862280208
40,2.37162637832281,26.4040862280208
41,2.37162637832281,26.9466207490314
42,2.37162637832281,26.9466207490314
43,2.37162637832281,26.9466207490314
44,2.58641597392739,27.2178880095367
45,2.58641597392739,27.2178880095367
46,2.80120556953196,27.4891552700421
47,2.80120556953196,27.4891552700421
48,3.01599516513654,27.2178880095367
49,3.01599516513654,27.7604225305474
50,3.01599516513654,27.7604225305474
51,3.23078476074111,28.5742243120633
52,3.44557435634568,28.5742243120633
53,3.44557435634568,29.3880260935793
54,3.66036395195026,29.3880260935793
55,3.87515354755483,29.6592933540846
56,3.87515354755483,29.6592933540846
57,4.08994314315941,29.9305606145899
58,4.30473273876398,29.9305606145899
59,4.30473273876398,28.5742243120633
60,4.30473273876398,28.5742243120633
61,4.51952233436856,30.4730951356005
62,4.51952233436856,30.4730951356005
63,4.73431192997313,31.5581641776218
64,4.73431192997313,31.5581641776218
65,4.73431192997313,31.2868969171165
66,4.73431192997313,31.2868969171165
67,4.73431192997313,32.1006986986324
68,4.73431192997313,32.1006986986324
69,4.9491015255777,32.3719659591377
70,4.9491015255777,32.3719659591377
71,4.9491015255777,32.1006986986324
72,4.9491015255777,31.8294314381271
73,5.16389112118228,32.3719659591377
74,5.16389112118228,32.3719659591377
75,5.37868071678685,30.7443623961058
76,5.808259907996,30.4730951356005
77,6.23783909920515,32.3719659591377
78,7.09699748162345,32.3719659591377
79,8.38573505525089,33.7283022616643
80,10.7484206069012,33.7283022616643
81,14.8294229233881,33.9995695221696
82,19.9843732178979,33.9995695221696
83,25.7836922992214,34.5421040431802
84,32.2273801673586,34.8133713036856
85,38.2414888442867,36.4409748667174
86,44.4703871168194,36.7122421272228
87,50.0549166025383,36.9835093877281
88,54.5654981102344,36.9835093877281
89,57.5725524486984,38.61111295076
90,59.5056588091396,38.8823802112653
91,60.5796067871624,42.1375873373291
92,61.2239755739762,42.4088545978344
93,62.0831339563945,43.2226563793503
94,62.7275027432082,43.4939236398556
95,63.5866611256265,42.6801218583397
96,64.4458195080448,42.6801218583397
97,65.0901882948585,41.0525182953078
98,65.7345570816722,40.7812510348025
99,66.3789258684859,39.9674492532865
100,66.8085050596951,39.9674492532865
101,67.2380842509042,39.1536474717706
102,67.6676634421134,38.61111295076
103,67.882453037718,37.2547766482334
104,68.3120322289271,36.7122421272228
105,68.5268218245317,35.8984403457068
106,68.7416114201363,34.8133713036856
107,68.7416114201363,33.1857677406537
108,68.9564010157408,32.3719659591377
109,68.9564010157408,31.5581641776218
110,69.1711906113454,31.2868969171165
111,69.1711906113454,30.7443623961058
112,69.1711906113454,30.2018278750952
113,69.1711906113454,29.3880260935793
114,69.1711906113454,28.302957051558
115,69.1711906113454,27.4891552700421
116,68.9564010157408,26.4040862280208
117,68.9564010157408,25.8615517070102
118,68.7416114201363,25.0477499254942
119,68.5268218245317,24.5052154044836
120,68.3120322289271,23.6914136229677
121,67.882453037718,23.148879101957
122,67.4528738465088,22.8776118414517
123,66.8085050596951,22.8776118414517
124,66.3789258684859,22.8776118414517
125,65.7345570816722,22.6063445809464
126,65.3049778904631,22.6063445809464
127,64.6606091036493,22.6063445809464
128,64.2310299124402,21.7925427994305
129,63.801450721231,21.5212755389251
130,63.1570819344173,20.7074737574092
131,62.9422923388127,20.4362064969039
